Player,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
David Ferrer,397,294,103,0.7405541561712846,0.04022118359555,0.029491146073332895,0.630537818445132,0.70793965652242,0.5443207126948775,0.6474886445921928,0.42254951752158454,0.5329799954755519,1.198683421226964
Ruben Ramirez Hidalgo,50,11,39,0.22,0.03399014778325123,0.05443349753694581,0.5507389162561577,0.6587656529516994,0.45394736842105265,0.5667487684729065,0.36020629750271443,0.4684917355371901,0.8314028242529965
Paul Capdeville,16,2,14,0.125,0.045906656465187455,0.045906656465187455,0.62203519510329,0.6482164821648216,0.44534412955465585,0.5715378729915838,0.3696,0.4728197105983574,0.8626199999999999
Eduardo Schwank,46,17,29,0.3695652173913043,0.049584408139868155,0.04213241616509028,0.6328460877042132,0.6711956521739131,0.5206869633099142,0.6159357982229865,0.3556179775280899,0.48446588168534543,0.9259336743250041
Joao Souza,39,15,24,0.38461538461538464,0.07247936849659131,0.03265159669895946,0.6329386437029063,0.6785714285714286,0.49266862170087977,0.6103336921420882,0.3628808864265928,0.48440528634361235,0.9312606173765322
Pere Riba,70,20,50,0.2857142857142857,0.0652014652014652,0.042673992673992675,0.5523809523809524,0.6644562334217506,0.47299509001636664,0.5787545787545788,0.3490783410138249,0.4666291713535808,0.8286816269284714
Ricardo Mello,47,16,31,0.3404255319148936,0.028210639441160666,0.02874798495432563,0.623589468027942,0.6428263679448514,0.5189150606709493,0.5961848468565287,0.3602251407129456,0.4780625251576546,0.8920545400755712
Juan Ignacio Chela,116,58,58,0.5,0.023420192003375882,0.026901571895769597,0.6415233674438232,0.6464397303075152,0.5061801059446733,0.5961599324823293,0.4140120647687586,0.5052303465765005,1.025188182325774
Daniel Koellerer,12,4,8,0.3333333333333333,0.015834348355663823,0.024360535931790498,0.6918392204628502,0.625,0.45849802371541504,0.5736906211936662,0.3628938156359393,0.466030989272944,0.851245207534589
Mikhail Kukushkin,118,51,67,0.4322033898305085,0.0468987920008121,0.02101309511724698,0.5837985991269922,0.6708398539384455,0.5104878048780488,0.604101106486651,0.3766047037075074,0.491014907085971,0.9512648554417065
Philipp Petzschner,117,57,60,0.48717948717948717,0.08826982602198741,0.03383498772547764,0.563560678834454,0.740719696969697,0.5030569821472243,0.6369943430462163,0.3620323129251701,0.49922777866538853,0.9973186532772474
Juan Carlos Ferrero,88,52,36,0.5909090909090909,0.03293633289222173,0.018967798853109837,0.6763711218938392,0.6678260869565218,0.55474784189005,0.631230701367446,0.39700691797261045,0.5117401325266494,1.0765725873730956
Nicolas Massu,13,3,10,0.23076923076923078,0.033117932148626815,0.0444264943457189,0.6405492730210016,0.6519546027742749,0.451685393258427,0.5799676898222941,0.3607305936073059,0.4770681525932276,0.8588162978573938
Carlos Berlocq,172,80,92,0.46511627906976744,0.04374138195189214,0.03439558755936878,0.6558909146621725,0.6693529549170755,0.4877560106856634,0.6068637965374598,0.39595225739491435,0.49967976490976906,1.0071630491101349
Daniel Gimeno Traver,162,55,107,0.3395061728395062,0.06775067750677506,0.03841861948031245,0.5766778256017854,0.7011748445058742,0.49124458670683485,0.6123067113024071,0.3550593600125796,0.482802295665941,0.9158253969403419
Frederico Gil,67,26,41,0.3880597014925373,0.02692233197753244,0.02576021692814255,0.6465233391439086,0.634212103055722,0.4915068493150685,0.5837691264768545,0.3796834301743138,0.4834547961394524,0.9121942996696054
Rui Machado,37,8,29,0.21621621621621623,0.02146690518783542,0.04830053667262969,0.6633273703041145,0.6208198489751888,0.4505844845908608,0.5635062611806798,0.37593984962406013,0.4697566213314245,0.8612720325403673
Igor Andreev,103,45,58,0.4368932038834951,0.06163731556401714,0.036173250832936696,0.5935268919562113,0.7129109863672815,0.509367681498829,0.6301761066158972,0.360162407451636,0.4954106568124925,0.9738754415133685
Fabio Fognini,253,131,122,0.5177865612648221,0.03638767814290612,0.04819041089181644,0.601498604241148,0.6651196873473376,0.4729015607717832,0.5885204956168275,0.39789294987018176,0.49412811827824066,0.9669812120208572
Igor Sijsling,103,38,65,0.36893203883495146,0.10404624277456648,0.03003267152550892,0.5926112088464438,0.7455470737913485,0.4892041949413942,0.6411158582558432,0.3429571303587052,0.49163481421141675,0.9556207434854956
Robin Soderling,120,89,31,0.7416666666666667,0.11926406926406927,0.04015151515151515,0.607034632034632,0.7703690497414869,0.5216193885981824,0.6726190476190477,0.3892171344165436,0.5291163585853189,1.1888814287632605
Xavier Malisse,159,79,80,0.4968553459119497,0.09130992464325798,0.026936026936026935,0.5755170755170755,0.7358963643961555,0.5104815864022663,0.6402116402116402,0.37041977245978813,0.5038661326777429,1.0295490734544113
Sam Querrey,229,129,100,0.5633187772925764,0.14655127740063223,0.041353578276416024,0.5972949163082344,0.7841402047544681,0.5001930253506627,0.669793232108618,0.34482045982950144,0.5070630239056194,1.0442561853938936
Ricardas Berankis,73,33,40,0.4520547945205479,0.06872509960159362,0.049634794156706505,0.5328685258964143,0.7274143302180686,0.5170575692963753,0.6291500664010624,0.35910224438902744,0.49422709527369385,0.9683222561322745
David Nalbandian,110,69,41,0.6272727272727273,0.04783132530120482,0.047228915662650604,0.5821686746987952,0.7090231788079471,0.513840830449827,0.6274698795180723,0.40212815715622074,0.5131141704248754,1.0794513921075783
Pablo Andujar,200,84,116,0.42,0.020200026319252534,0.04322937228582708,0.6181734438741939,0.6436402341671101,0.48854041013269,0.584419002500329,0.39393739703459635,0.4892503210087907,0.9479196580322664
Horacio Zeballos,113,44,69,0.3893805309734513,0.06998774100078012,0.03075894349715814,0.6166276607600579,0.7066690764503886,0.5017441860465116,0.6281065418477655,0.324120009449563,0.4805321406043925,0.8715399594818485
Santiago Ventura,14,3,11,0.21428571428571427,0.04962546816479401,0.04681647940074907,0.5468164794007491,0.6558219178082192,0.4462809917355372,0.5608614232209738,0.34755463059313213,0.4598324297683588,0.7914463656150642
Marcos Daniel,14,2,12,0.14285714285714285,0.06037735849056604,0.029245283018867925,0.6009433962264151,0.6640502354788069,0.40189125295508277,0.559433962264151,0.3333333333333333,0.4535875564475665,0.7566024268379729
Mischa Zverev,62,19,43,0.3064516129032258,0.04256698357821953,0.03003457216940363,0.6527657735522904,0.6441575637206223,0.45737398879900437,0.5792999135695764,0.35551625027636524,0.4686919462353841,0.8450586575649811
Guillaume Rufin,40,15,25,0.375,0.07820646506777894,0.052398331595411886,0.5464025026068822,0.6951335877862596,0.4954022988505747,0.6045359749739312,0.3557367829021372,0.48484848484848486,0.8995427153675666
Jeremy Chardy,227,110,117,0.4845814977973568,0.10014369404222394,0.05327732950149221,0.5810765999778932,0.7433897660262507,0.49195250659630607,0.6380568144136177,0.35638474295190714,0.49723634755693125,0.9846427758393353
Teymuraz Gabashvili,104,39,65,0.375,0.0447796370492576,0.041480084845628096,0.593094508602404,0.6838863500894099,0.49377353026353893,0.6065283997171812,0.36618391616625456,0.4863066140526533,0.9306489106279832
Daniel Brands,113,41,72,0.36283185840707965,0.10990351558167905,0.03327048907618942,0.6624154375069313,0.7209107651096601,0.5151116951379764,0.6514361761117888,0.3124929971988796,0.4828335748523019,0.8965158624697095
Marinko Matosevic,129,55,74,0.4263565891472868,0.05738880918220947,0.03558106169296987,0.5983739837398374,0.6827046035805626,0.4867825672779233,0.6040172166427547,0.3723498668770338,0.4899495047582055,0.9403183232365673
Paul Henri Mathieu,106,40,66,0.37735849056603776,0.06187402626307589,0.04584909859781883,0.5515245938125973,0.7255851493139629,0.5119106699751861,0.6297574004006232,0.34229885057471265,0.48835236910550717,0.9245258404762152
Kevin Anderson,268,152,116,0.5671641791044776,0.13782937166021744,0.03482587064676617,0.6554726368159204,0.7546559842575022,0.5254713196951464,0.6756955960936061,0.35008579427436104,0.5112646508870342,1.079497503140317
Guillermo Garcia Lopez,232,110,122,0.47413793103448276,0.046893935402286736,0.050687602086516674,0.5740028452500132,0.6942353589131632,0.49288806431663573,0.6084619842984351,0.38114495798319326,0.4946211104973829,0.9734558145018201
Brian Dabul,18,6,12,0.3333333333333333,0.030277544154751892,0.02691337258200168,0.656013456686291,0.6884615384615385,0.5158924205378973,0.6291000841042893,0.3367427222659323,0.47804878048780486,0.9079072489210738
Ryan Harrison,136,53,83,0.3897058823529412,0.07776286353467561,0.04170022371364653,0.5974944071588367,0.7036094054215966,0.49733214762116495,0.6205816554809843,0.34472455648926237,0.48558373315055975,0.9085605940489403
Martin Klizan,101,48,53,0.4752475247524752,0.06070885483682302,0.044215697742426015,0.5591297227745935,0.6939330543933054,0.4964181480498806,0.6068546028775296,0.3752413127413127,0.49284314307774546,0.9544593819177277
